Probe,Female CBZ C1,Female CBZ C2,Female CBZ C3,Female CBZ L1,Female CBZ L2,Female CBZ  L3,Female CBZ H1,Female CBZ H2,Female CBZ H3
A_15_P100613,0,0,0,1,1,1,1,1,1
A_15_P100614,0,0,0,1,1,1,1,1,1
A_15_P100615,0,0,0,1,1,1,1,1,1
A_15_P100617,0,0,0,1,1,1,1,1,1
A_15_P100618,0,0,0,1,1,1,1,1,1
A_15_P100620,0,0,0,1,1,1,1,1,1
A_15_P100621,0,0,0,1,1,1,1,1,1
A_15_P100623,0,0,0,1,1,1,1,1,1
A_15_P100627,0,0,0,1,1,1,1,1,1
A_15_P100628,0,0,0,1,1,1,1,1,1
A_15_P100630,0,0,0,1,1,1,1,1,1
A_15_P100632,0,0,0,1,1,1,1,1,1
A_15_P100633,0,0,0,1,1,1,1,1,1
A_15_P100636,0,0,0,1,1,1,1,1,1
A_15_P100638,0,0,0,1,1,1,1,1,1
A_15_P100639,0,0,0,1,1,1,1,1,1
A_15_P100642,0,0,0,1,1,1,1,1,1
A_15_P100643,0,0,0,1,1,1,1,1,1
A_15_P100644,0,0,0,1,1,1,1,1,1
A_15_P100645,0,0,0,1,1,1,1,1,1
A_15_P100647,0,0,0,1,1,1,1,1,1
A_15_P100654,0,0,0,1,1,1,1,1,1
A_15_P100656,0,0,0,1,1,1,1,1,1
A_15_P100659,0,0,0,1,1,1,1,1,1
A_15_P100664,0,0,0,1,1,1,1,1,1
A_15_P100665,0,0,0,1,1,1,1,1,1
A_15_P100666,0,0,0,1,1,1,1,1,1
A_15_P100667,0,0,0,1,1,1,1,1,1
A_15_P100668,0,0,0,1,1,1,1,1,1
A_15_P100671,0,0,0,1,1,1,1,1,1
A_15_P100676,0,0,0,1,1,1,1,1,1
A_15_P100678,0,0,0,1,1,1,1,1,1
A_15_P100681,0,0,0,1,1,1,1,1,1
A_15_P100682,0,0,0,1,1,1,1,1,1
A_15_P100683,0,0,0,1,1,1,1,1,1
A_15_P100686,0,0,0,1,1,1,1,1,1
A_15_P100688,0,0,0,1,1,1,1,1,1
A_15_P100689,0,0,0,1,1,1,1,1,1
A_15_P100691,0,0,0,1,1,1,1,1,1
A_15_P100692,0,0,0,1,1,1,1,1,1
A_15_P100697,0,0,0,1,1,1,1,1,1
A_15_P100698,0,0,0,1,1,1,1,1,1
A_15_P100699,0,0,0,1,1,1,1,1,1
A_15_P100700,0,0,0,1,1,1,1,1,1
A_15_P100701,0,0,0,1,1,1,1,1,1
A_15_P100704,0,0,0,1,1,1,1,1,1
A_15_P100705,0,0,0,1,1,1,1,1,1
A_15_P100707,0,0,0,1,1,1,1,1,1
A_15_P100712,0,0,0,1,1,1,1,1,1
A_15_P100713,0,0,0,1,1,1,1,1,1
A_15_P100716,0,0,0,1,1,1,1,1,1
A_15_P100717,0,0,0,1,1,1,1,1,1
A_15_P100718,0,0,0,1,1,1,1,1,1
A_15_P100720,0,0,0,1,1,1,1,1,1
A_15_P100722,0,0,0,1,1,1,1,1,1
A_15_P100724,0,0,0,1,1,1,1,1,1
A_15_P100725,0,0,0,1,1,1,1,1,1
A_15_P100726,0,0,0,1,1,1,1,1,1
A_15_P100727,0,0,0,1,1,1,1,1,1
A_15_P100728,0,0,0,1,1,1,1,1,1
A_15_P100729,0,0,0,1,1,1,1,1,1
A_15_P100730,0,0,0,1,1,1,1,1,1
A_15_P100733,0,0,0,1,1,1,1,1,1
A_15_P100735,0,0,0,1,1,1,1,1,1
A_15_P100740,0,0,0,1,1,1,1,1,1
A_15_P100742,0,0,0,1,1,1,1,1,1
A_15_P100747,0,0,0,1,1,1,1,1,1
A_15_P100752,0,0,0,1,1,1,1,1,1
A_15_P100753,0,0,0,1,1,1,1,1,1
A_15_P100756,0,0,0,1,1,1,1,1,1
A_15_P100764,0,0,0,1,1,1,1,1,1
A_15_P100767,0,0,0,1,1,1,1,1,1
A_15_P100770,0,0,0,1,1,1,1,1,1
A_15_P100771,0,0,0,1,1,1,1,1,1
A_15_P100773,0,0,0,1,1,1,1,1,1
A_15_P100779,0,0,0,1,1,1,1,1,1
A_15_P100780,0,0,0,1,1,1,1,1,1
A_15_P100781,0,0,0,1,1,1,1,1,1
A_15_P100782,0,0,0,1,1,1,1,1,1
A_15_P100783,0,0,0,1,1,1,1,1,1
A_15_P100785,0,0,0,1,1,1,1,1,1
A_15_P100787,0,0,0,1,1,1,1,1,1
A_15_P100789,0,0,0,1,1,1,1,1,1
A_15_P100790,0,0,0,1,1,1,1,1,1
A_15_P100791,0,0,0,1,1,1,1,1,1
A_15_P100792,0,0,0,1,1,1,1,1,1
A_15_P100794,0,0,0,1,1,1,1,1,1
A_15_P100795,0,0,0,1,1,1,1,1,1
A_15_P100796,0,0,0,1,1,1,1,1,1
A_15_P100797,0,0,0,1,1,1,1,1,1
A_15_P100800,0,0,0,1,1,1,1,1,1
A_15_P100803,0,0,0,1,1,1,1,1,1
A_15_P100805,0,0,0,1,1,1,1,1,1
A_15_P100806,0,0,0,1,1,1,1,1,1
A_15_P100811,0,0,0,1,1,1,1,1,1
A_15_P100814,0,0,0,1,1,1,1,1,1
A_15_P100824,0,0,0,1,1,1,1,1,1
A_15_P100826,0,0,0,1,1,1,1,1,1
A_15_P100828,0,0,0,1,1,1,1,1,1
A_15_P100831,0,0,0,1,1,1,1,1,1
A_15_P100832,0,0,0,1,1,1,1,1,1
A_15_P100833,0,0,0,1,1,1,1,1,1
A_15_P100834,0,0,0,1,1,1,1,1,1
A_15_P100836,0,0,0,1,1,1,1,1,1
A_15_P100837,0,0,0,1,1,1,1,1,1
A_15_P100839,0,0,0,1,1,1,1,1,1
A_15_P100840,0,0,0,1,1,1,1,1,1
A_15_P100841,0,0,0,1,1,1,1,1,1
A_15_P100844,0,0,0,1,1,1,1,1,1
A_15_P100845,0,0,0,1,1,1,1,1,1
A_15_P100847,0,0,0,1,1,1,1,1,1
A_15_P100849,0,0,0,1,1,1,1,1,1
A_15_P100851,0,0,0,1,1,1,1,1,1
A_15_P100852,0,0,0,1,1,1,1,1,1
A_15_P100856,0,0,0,1,1,1,1,1,1
A_15_P100858,0,0,0,1,1,1,1,1,1
A_15_P100859,0,0,0,1,1,1,1,1,1
A_15_P100861,0,0,0,1,1,1,1,1,1
A_15_P100863,0,0,0,1,1,1,1,1,1
A_15_P100864,0,0,0,1,1,1,1,1,1
A_15_P100867,0,0,0,1,1,1,1,1,1
A_15_P100871,0,0,0,1,1,1,1,1,1
A_15_P100873,0,0,0,1,1,1,1,1,1
A_15_P100875,0,0,0,1,1,1,1,1,1
A_15_P100876,0,0,0,1,1,1,1,1,1
A_15_P100878,0,0,0,1,1,1,1,1,1
A_15_P100881,0,0,0,1,1,1,1,1,1
A_15_P100884,0,0,0,1,1,1,1,1,1
A_15_P100889,0,0,0,1,1,1,1,1,1
A_15_P100890,0,0,0,1,1,1,1,1,1
A_15_P100891,0,0,0,1,1,1,1,1,1
A_15_P100892,0,0,0,1,1,1,1,1,1
A_15_P100893,0,0,0,1,1,1,1,1,1
A_15_P100894,0,0,0,1,1,1,1,1,1
A_15_P100902,0,0,0,1,1,1,1,1,1
A_15_P100904,0,0,0,1,1,1,1,1,1
A_15_P100906,0,0,0,1,1,1,1,1,1
A_15_P100907,0,0,0,1,1,1,1,1,1
A_15_P100908,0,0,0,1,1,1,1,1,1
A_15_P100910,0,0,0,1,1,1,1,1,1
A_15_P100911,0,0,0,1,1,1,1,1,1
